date	open	high	close	low	volume	amount
1991-12-31 00:00:00	292.48	292.75	292.75	291.71	58400	858000
1991-12-30 00:00:00	291.71	291.71	291.71	290.85	116500	1881000
1991-12-27 00:00:00	290.65	290.85	290.85	288.03	155100	1789000
1991-12-26 00:00:00	288.03	288.03	288.03	287.15	116800	1422000
1991-12-25 00:00:00	287.09	287.15	287.15	286.22	57300	873000
1991-12-24 00:00:00	285.74	286.22	286.22	285.65	48600	593000
1991-12-23 00:00:00	285.65	285.65	285.65	282.83	104600	1182000
1991-12-20 00:00:00	282.83	282.83	282.83	280.63	439300	6268000
1991-12-19 00:00:00	279.98	280.17	280.17	279.51	109400	1242000
1991-12-18 00:00:00	279.32	279.51	279.51	278.68	76000	893000
1991-12-17 00:00:00	278.67	278.68	278.68	277.85	49300	754000
1991-12-16 00:00:00	277.53	277.85	277.85	277.0	58000	817000
1991-12-13 00:00:00	276.81	277.0	277.0	274.41	74600	962000
1991-12-12 00:00:00	274.41	274.41	274.41	273.71	157700	1644000
1991-12-11 00:00:00	273.53	273.71	273.71	272.91	66900	859000
1991-12-10 00:00:00	270.27	272.91	272.91	270.27	51600	665000
1991-12-09 00:00:00	270.27	270.27	270.27	269.35	163100	1648000
1991-12-06 00:00:00	269.34	269.35	269.35	266.66	161300	1798000
1991-12-05 00:00:00	266.48	266.66	266.66	265.77	205000	2100000
1991-12-04 00:00:00	265.53	265.77	265.77	264.81	74200	903000
1991-12-03 00:00:00	264.64	264.81	264.81	262.19	110100	1207000
1991-12-02 00:00:00	261.78	262.19	262.19	259.67	1912800	16310000
1991-11-29 00:00:00	259.68	259.85	259.6	257.35	3369500	28453000
1991-11-28 00:00:00	257.28	257.35	257.35	255.45	250200	2251000
1991-11-27 00:00:00	255.27	255.45	255.45	252.97	212000	1756000
1991-11-26 00:00:00	252.9	252.97	252.97	250.85	245400	2326000
1991-11-25 00:00:00	250.84	250.85	250.85	248.53	233100	1963000
1991-11-22 00:00:00	248.24	248.53	248.53	246.31	213300	1954000
1991-11-21 00:00:00	246.26	246.31	246.31	244.5	215500	2030000
1991-11-20 00:00:00	244.5	244.5	244.5	242.24	232500	1929000
1991-11-19 00:00:00	242.24	242.24	242.24	240.62	231000	2040000
1991-11-18 00:00:00	240.04	240.62	240.62	238.25	188500	1534000
1991-11-15 00:00:00	238.25	238.25	238.25	237.45	205800	1914000
1991-11-14 00:00:00	237.39	237.45	237.45	236.67	86200	940000
1991-11-13 00:00:00	236.51	236.67	236.67	235.8	79900	879000
1991-11-12 00:00:00	235.75	235.8	235.8	233.55	89500	914000
1991-11-11 00:00:00	233.48	233.55	233.55	231.22	247400	2130000
1991-11-08 00:00:00	230.99	231.22	231.22	228.93	1440600	11039000
1991-11-07 00:00:00	228.93	228.93	228.93	226.88	483300	4085000
1991-11-06 00:00:00	226.83	226.88	226.88	224.65	284800	2188000
1991-11-05 00:00:00	224.44	224.65	224.65	222.77	280500	2225000
1991-11-04 00:00:00	222.77	222.77	222.77	220.79	447400	3352000
1991-11-01 00:00:00	220.71	220.72	220.72	218.6	590600	4313000
1991-10-31 00:00:00	218.59	218.6	218.6	216.43	392900	2914000
1991-10-30 00:00:00	216.37	216.43	216.43	215.78	238000	1814000
1991-10-29 00:00:00	215.63	215.78	215.78	213.98	269700	2069000
1991-10-28 00:00:00	213.5	213.98	213.98	211.86	321700	2357000
1991-10-25 00:00:00	210.34	211.97	211.86	209.71	3265000	22263000
1991-10-24 00:00:00	210.2	210.2	210.07	208.25	1935700	13174000
1991-10-23 00:00:00	208.06	208.25	208.25	206.53	262300	1980000
1991-10-22 00:00:00	206.06	206.53	206.53	204.53	212800	1521000
1991-10-21 00:00:00	204.53	204.53	204.53	202.51	353700	2514000
1991-10-18 00:00:00	202.5	202.51	202.51	200.51	296800	2384000
1991-10-17 00:00:00	200.5	200.51	200.51	198.57	607700	4136000
1991-10-16 00:00:00	198.51	198.57	198.57	196.61	956200	6273000
1991-10-15 00:00:00	196.58	196.61	196.61	194.67	1100200	7265000
1991-10-14 00:00:00	194.06	194.69	194.67	192.32	2149300	13948000
1991-10-11 00:00:00	192.84	192.88	192.85	191.01	1098100	7251000
1991-10-10 00:00:00	190.71	191.01	191.01	189.12	663800	4333000
1991-10-09 00:00:00	188.49	189.12	189.12	186.31	2098900	13440000
1991-10-08 00:00:00	187.59	187.61	187.49	186.0	2374500	15241000
1991-10-07 00:00:00	185.95	186.0	186.0	185.41	1136900	7291000
1991-10-04 00:00:00	184.29	184.29	184.29	183.59	736000	5039000
1991-10-03 00:00:00	181.55	182.48	182.48	179.8	1874100	12329000
1991-09-30 00:00:00	180.28	181.95	180.92	180.27	2559400	22336000
1991-09-27 00:00:00	183.12	183.89	181.82	181.19	3372800	20416000
1991-09-26 00:00:00	182.21	183.19	182.33	181.93	654100	4620000
1991-09-25 00:00:00	182.8	184.08	183.19	182.8	138900	934000
1991-09-24 00:00:00	183.96	185.04	184.08	183.69	142600	1002000
