Wall time,Step,Value
1504497130,0,1.455147862
1504497238,67,1.004261136
1504497357,134,0.699912012
1504497478,201,0.599367917
1504497598,268,0.548627138
1504497719,335,0.223601505
1504497838,402,0.083239228
1504497958,469,0.60240519
1504498079,536,0.165254265
1504498198,603,2.543533087
1504498318,670,0.245877177
1504498438,737,4.205600739
1504498558,804,0.504528642
1504498678,871,0.147805303
1504498797,938,0.073629439
1504498917,1005,0.395096183
1504499038,1072,0.295493782
1504499158,1139,0.574115753
1504499278,1206,0.100106582
1504499398,1273,0.359688729
1504499518,1340,0.366573483
1504499638,1407,0.1304681
1504499758,1474,0.380771637
1504499877,1541,0.104293317
1504499999,1608,0.026187724
1504500118,1675,0.623704135
1504500238,1742,0.278677106
1504500358,1809,0.599382758
1504500477,1876,0.378045529
1504500598,1943,0.735410452
1504500718,2010,1.528992891
1504500837,2077,0.364418775
1504500957,2144,0.189624652
1504501078,2211,0.099075422
1504501198,2278,0.07100147
1504501318,2345,0.587457478
1504501438,2412,0.072798893
1504501558,2479,0.530914545
1504501678,2546,0.306653231
1504501800,2613,0.232342303
1504501918,2680,0.127633095
1504502037,2747,0.697594225
1504502158,2814,0.999749541
1504502278,2881,0.696865439
1504502399,2948,0.492017388
1504502518,3015,0.607259154
1504502637,3082,0.576986551
1504502757,3149,0.231850848
1504502879,3216,0.091787845
1504502998,3283,0.167776823
1504503118,3350,0.356233984
1504503238,3417,0.20645915
1504503357,3484,0.609938145
1504503478,3551,0.150803119
1504503598,3618,0.694638908
1504503718,3685,0.098469198
1504503838,3752,0.085805073
1504503958,3819,0.203392208
1504504077,3886,0.257025272
1504504198,3953,0.278608322
1504504318,4020,0.855555296
1504504438,4087,0.155290067
1504504558,4154,0.891260803
1504504677,4221,0.372910112
1504504797,4288,0.066330343
1504504921,4355,0.050503582
1504505038,4422,0.135491058
1504505158,4489,0.62700659
1504505279,4556,0.192142427
1504505400,4623,0.05987861
1504505517,4690,0.68698746
1504505638,4757,0.318028271
1504505758,4824,0.034932576
1504505878,4891,0.137310877
1504505999,4958,0.195606932
1504506118,5025,0.268557876
1504506238,5092,0.170962498
1504506358,5159,0.683001041
1504506479,5226,0.4536466
1504506600,5293,0.846719384
1504506719,5360,0.992693424
1504506837,5427,0.127463445
1504506958,5494,0.297312915
1504507077,5561,0.398165315
1504507200,5628,0.512288094
1504507317,5695,0.564025939
1504507438,5762,0.126860663
1504507559,5829,0.088191144
1504507678,5896,0.515622914
1504507800,5963,0.569276154
1504507920,6030,0.20399335
1504508037,6097,0.11381875
1504508158,6164,1.061610103
1504508278,6231,0.302157372
1504508398,6298,0.436802775
1504508519,6365,0.164716691
1504508638,6432,0.250206918
1504508758,6499,0.82890296
1504508878,6566,0.416889191
1504508999,6633,0.417853445
1504509119,6700,0.353385568
1504509240,6767,0.476946205
1504509358,6834,0.13480258
1504509478,6901,1.168599129
1504509597,6968,0.230178282
1504509718,7035,0.184222952
1504509837,7102,0.134496078
1504509958,7169,0.224240363
1504510079,7236,0.582552373
1504510198,7303,0.413616508
1504510318,7370,0.129369304
1504510438,7437,0.14729248
1504510558,7504,0.309485316
1504510677,7571,0.291362315
1504510799,7638,0.434718281
1504510919,7705,0.311999828
1504511040,7772,0.322265387
1504511160,7839,0.788124561
1504511278,7906,0.372616589
1504511398,7973,0.50709933
1504511518,8040,0.116035283
1504511637,8107,0.191111669
1504511758,8174,0.143981054
1504511878,8241,0.124840148
1504511998,8308,0.724114954
1504512118,8375,0.336731106
1504512237,8442,0.782421231
1504512359,8509,0.163188353
1504512477,8576,0.195707962
1504512598,8643,0.176288158
1504512718,8710,0.070320591
1504512840,8777,0.495497316
1504512958,8844,0.212680787
1504513079,8911,0.097478762
1504513198,8978,0.459773988
1504513318,9045,0.133969486
1504513439,9112,0.703714073
1504513558,9179,0.089923479
1504513678,9246,0.333615363
1504513797,9313,0.200555861
1504513918,9380,0.37692818
1504514038,9447,0.635646105
1504514158,9514,0.125258103
1504514279,9581,0.51659447
1504514398,9648,0.126588166
1504514519,9715,0.056620404
1504514637,9782,0.834042192
1504514759,9849,0.350244015
1504514879,9916,0.601505697
1504514997,9983,0.744168103
1504515119,10050,0.28952691
1504515237,10117,0.131428957
1504515357,10184,0.948974848
1504515478,10251,0.80499649
1504515598,10318,0.122539066
1504515719,10385,0.17558977
1504515838,10452,0.312662899
1504515961,10519,0.381655514
1504516077,10586,0.147050619
1504516199,10653,0.090727799
1504516319,10720,0.618530452
1504516437,10787,0.549758255
1504516558,10854,0.12592949
1504516678,10921,0.273447037
1504516798,10988,0.91395843
1504516919,11055,0.264550894
1504517038,11122,0.119019181
1504517158,11189,0.042198982
1504517279,11256,0.273071617
1504517398,11323,0.195554793
1504517519,11390,0.068480656
1504517641,11457,0.246757686
1504517758,11524,0.181408927
1504517879,11591,0.107393101
1504517997,11658,0.080757551
1504518119,11725,0.097934231
1504518239,11792,0.603095651
1504518359,11859,0.132009327
1504518478,11926,0.314965248
1504518601,11993,0.08631207
1504518718,12060,0.133347139
1504518837,12127,0.295843691
1504518959,12194,0.120192163
1504519079,12261,0.100674644
1504519197,12328,0.153342277
1504519321,12395,0.2958211
1504519438,12462,0.779852092
1504519560,12529,0.209073067
1504519681,12596,0.079421565
1504519797,12663,0.225110725
1504519921,12730,0.14227967
1504520041,12797,0.3806054
1504520162,12864,0.543802619
1504520280,12931,0.290380061
1504520399,12998,0.07881669
1504520519,13065,0.401270509
1504520638,13132,0.448346436
1504520762,13199,0.106538415
1504520879,13266,0.223146141
1504521001,13333,0.34327054
1504521119,13400,0.070320934
1504521242,13467,0.209994107
1504521361,13534,0.198424906
1504521479,13601,0.696269393
1504521598,13668,0.151197717
1504521721,13735,0.178046107
1504521837,13802,0.075088173
1504521960,13869,0.063750602
1504522079,13936,0.152220204
1504522198,14003,0.13944912
1504522320,14070,0.099438533
1504522438,14137,0.537242234
1504522560,14204,0.048920393
1504522682,14271,0.03588029
1504522798,14338,0.167266995
1504522918,14405,0.252349347
1504523038,14472,0.504398525
1504523159,14539,0.632501006
1504523277,14606,0.075294733
1504523398,14673,0.041954603
1504523518,14740,0.40910235
1504523637,14807,0.625620484
1504523759,14874,0.108480819
1504523878,14941,0.296417743
1504524002,15008,0.125850901
1504524121,15075,0.167889491
1504524238,15142,0.446147263
1504524360,15209,0.030421
1504524478,15276,0.151735097
1504524602,15343,0.222217917
1504524723,15410,0.378656477
1504524838,15477,0.084560268
1504524960,15544,0.258988976
1504525079,15611,0.077592224
1504525198,15678,0.265070975
1504525323,15745,0.81029284
1504525438,15812,0.380707115
1504525560,15879,0.086054809
1504525678,15946,0.441929251
1504525797,16013,0.304932386
1504525920,16080,0.519214094
1504526040,16147,0.50346154
1504526159,16214,0.124344893
1504526282,16281,0.104133651
1504526397,16348,0.277248949
1504526519,16415,0.782368362
1504526637,16482,0.178370193
1504526758,16549,0.26739341
1504526878,16616,0.597728729
1504527002,16683,0.191740364
1504527120,16750,0.987970948
1504527238,16817,0.353957802
1504527358,16884,0.199042872
1504527482,16951,0.477327287
1504527598,17018,0.255988002
1504527718,17085,0.322277308
1504527837,17152,0.244937599
1504527961,17219,0.222705185
1504528078,17286,0.165135354
1504528199,17353,0.11325492
1504528319,17420,0.362389177
1504528438,17487,0.576550961
1504528560,17554,0.064452313
1504528679,17621,0.081975564
1504528799,17688,0.314469039
1504528920,17755,0.535873592
1504529038,17822,0.73159039
1504529158,17889,0.065469891
1504529283,17956,0.218292356
1504529404,18023,0.469225138
1504529522,18090,0.055028833
1504529638,18157,0.505326807
1504529760,18224,0.032601368
1504529881,18291,0.210671082
1504529999,18358,0.036234539
1504530118,18425,0.312121183
1504530238,18492,0.128142968
1504530359,18559,0.485908091
1504530478,18626,0.330266386
1504530598,18693,0.206740811
1504530718,18760,0.110602334
1504530842,18827,0.072242543
1504530958,18894,0.631645203
1504531083,18961,0.698580503
1504531201,19028,0.390446752
1504531319,19095,0.238865793
1504531438,19162,0.087023057
1504531560,19229,0.254284531
1504531679,19296,0.239916921
1504531809,19363,1.635197163
1504531923,19430,0.050410587
1504532040,19497,0.217411518
1504532157,19564,0.374343485
1504532278,19631,1.169617653
1504532403,19698,0.57382983
1504532518,19765,0.613890231
1504532638,19832,0.308324993
1504532761,19899,0.045727298
1504532878,19966,0.295958847
1504533003,20033,0.133232549
1504533123,20100,0.166673064
1504533244,20167,0.046684004
1504533363,20234,0.071794756
1504533481,20301,0.095956579
1504533598,20368,0.677171409
1504533718,20435,0.743790507
1504533839,20502,0.054128516
1504533961,20569,0.127571478
1504534078,20636,0.175678954
1504534203,20703,0.200835317
1504534322,20770,0.213012129
1504534437,20837,0.341404378
1504534560,20904,0.206161812
1504534678,20971,0.482079297
1504534799,21038,0.028945288
1504534918,21105,0.276067227
1504535038,21172,0.314071089
1504535161,21239,0.092458263
1504535278,21306,0.112360686
1504535398,21373,0.176404029
1504535517,21440,0.095085248
1504535638,21507,0.163332
1504535762,21574,0.082910977
1504535878,21641,0.435237229
1504536004,21708,0.172587723
1504536118,21775,0.291006386
1504536237,21842,0.079261966
1504536361,21909,0.037838481
1504536478,21976,0.105433844
1504536598,22043,0.303364784
1504536719,22110,0.058899209
1504536838,22177,0.176007614
1504536961,22244,0.212127611
1504537079,22311,0.100813478
1504537202,22378,0.533968389
1504537318,22445,0.340872079
1504537438,22512,0.193980947
1504537561,22579,0.973900974
1504537678,22646,0.362074584
1504537804,22713,0.040192805
1504537918,22780,0.015358361
1504538039,22847,0.121408522
1504538161,22914,0.596860349
1504538281,22981,0.677745223
1504538398,23048,0.251860231
1504538519,23115,0.030761065
1504538650,23182,0.044794414
1504538765,23249,0.087336056
1504538883,23316,0.156468257
1504539002,23383,0.202568278
1504539118,23450,0.156018928
1504539244,23517,0.148679659
1504539359,23584,0.161243632
1504539481,23651,0.147509083
1504539602,23718,0.178346425
1504539721,23785,0.250234455
1504539842,23852,0.254105926
1504539957,23919,0.209794581
1504540079,23986,0.080320016
1504540198,24053,0.162272662
1504540322,24120,0.071204588
1504540438,24187,0.033086237
1504540557,24254,0.247650117
1504540682,24321,0.031348683
1504540809,24388,0.251155257
1504540919,24455,0.107241243
1504541044,24522,0.32124272
1504541158,24589,0.094988406
1504541282,24656,0.247568622
1504541399,24723,0.206025124
1504541518,24790,0.089190133
1504541637,24857,0.515124619
1504541763,24924,0.041263964
1504541882,24991,0.029912548
1504541998,25058,0.172684059
1504542118,25125,0.30071187
1504542239,25192,0.074360356
1504542362,25259,0.083854571
1504542481,25326,0.048635215
1504542602,25393,0.199106589
1504542719,25460,0.030386556
1504542838,25527,0.02403957
1504542963,25594,0.13657096
1504543078,25661,0.136930704
1504543205,25728,0.022705296
1504543327,25795,0.01352112
1504543438,25862,0.254696548
1504543561,25929,0.025145924
1504543679,25996,0.055037133
1504543797,26063,0.058924153
1504543922,26130,0.456538796
1504544037,26197,0.110820033
1504544158,26264,0.038149264
1504544278,26331,0.079018876
1504544398,26398,0.180932701
1504544518,26465,0.22471182
1504544639,26532,0.168267384
1504544758,26599,0.089245111
1504544882,26666,0.125820801
1504544998,26733,0.156477198
1504545136,26800,0.377054602
1504545238,26867,0.084773868
1504545362,26934,0.275572091
1504545479,27001,0.14604871
1504545598,27068,0.667763293
1504545733,27135,0.054888919
1504545838,27202,0.142885223
1504545958,27269,0.208716452
1504546082,27336,0.126505375
1504546203,27403,0.262318045
1504546318,27470,0.449042052
1504546446,27537,0.260246396
1504546558,27604,0.04939723
1504546682,27671,0.161882535
1504546807,27738,0.223478109
1504546918,27805,0.105559103
1504547038,27872,0.272021741
1504547163,27939,0.426266849
1504547278,28006,0.13143374
1504547398,28073,0.055222373
1504547525,28140,0.037671838
1504547648,28207,0.079656899
1504547765,28274,0.112667292
1504547884,28341,0.07008183
1504547997,28408,0.199155211
1504548128,28475,0.036838062
1504548250,28542,0.331133246
1504548357,28609,0.145306885
1504548484,28676,0.168813929
1504548597,28743,0.127590984
1504548718,28810,0.135250315
1504548845,28877,0.034862276
1504548965,28944,0.184969559
1504549079,29011,0.061949007
1504549203,29078,0.129189044
1504549324,29145,0.247628585
1504549437,29212,0.296460092
1504549558,29279,0.138454169
1504549677,29346,0.14685601
1504549802,29413,0.117135413
1504549923,29480,0.031052683
1504550038,29547,0.13631323
1504550165,29614,0.08472275
1504550278,29681,0.043669567
1504550403,29748,0.076632962
1504550605,29815,0.383940309
1504550643,29882,1.037264347
1504550758,29949,0.295739472
