Wall time,Step,Value
1504496923,0,1.509762049
1504497034,160,0.124354534
1504497154,352,0.092012569
1504497274,545,0.266959071
1504497394,735,0.680119216
1504497514,926,0.362839669
1504497634,1114,0.689794421
1504497754,1305,0.777890503
1504497874,1495,0.446246296
1504497994,1685,0.517211437
1504498114,1876,1.502096057
1504498234,2062,0.085319012
1504498354,2252,0.441277534
1504498474,2442,0.230112076
1504498594,2631,0.445754111
1504498714,2821,0.65096283
1504498834,3008,0.120142035
1504498954,3198,0.452905744
1504499074,3390,0.38194406
1504499194,3584,0.656842172
1504499314,3780,0.176405787
1504499434,3975,0.404396802
1504499554,4171,0.064544089
1504499674,4361,0.159097925
1504499794,4553,0.638579547
1504499914,4747,0.50801456
1504500034,4937,0.369404972
1504500154,5131,0.527587771
1504500274,5327,0.37955752
1504500394,5523,0.716084421
1504500514,5715,0.095753364
1504500634,5908,0.047313944
1504500754,6099,0.1595909
1504500874,6295,0.398369282
1504500995,6488,0.725587666
1504501115,6679,0.290843338
1504501234,6867,0.078245997
1504501354,7059,0.436137199
1504501474,7249,0.126213521
1504501594,7441,0.06021845
1504501714,7630,0.086673334
1504501834,7820,0.379639089
1504501954,8010,0.320345223
1504502075,8199,0.210831031
1504502194,8386,0.232133567
1504502314,8577,0.528700233
1504502434,8766,0.255523205
1504502555,8960,0.106015734
1504502674,9151,0.085035011
1504502794,9348,0.133405522
1504502914,9545,0.279461205
1504503035,9739,0.047014169
1504503154,9931,0.057951365
1504503274,10125,0.243724376
1504503394,10319,0.332089126
1504503514,10514,0.602391601
1504503634,10705,0.884588242
1504503755,10902,0.155468673
1504503875,11097,0.233272925
1504503994,11288,0.155013606
1504504114,11482,0.144782335
1504504234,11673,0.294073939
1504504355,11867,0.085361712
1504504474,12058,0.188944727
1504504594,12250,0.233706817
1504504714,12441,0.114047974
1504504834,12630,0.633668244
1504504954,12822,0.038528185
1504505074,13012,0.088409662
1504505194,13201,0.060634006
1504505314,13391,0.071370803
1504505434,13579,0.094233185
1504505555,13769,0.103871278
1504505675,13957,0.378920436
1504505794,14148,0.150461614
1504505914,14343,0.105914004
1504506035,14538,0.084686577
1504506154,14734,0.274713278
1504506274,14930,0.019891167
1504506394,15126,0.454130471
1504506515,15322,0.137129873
1504506634,15513,0.175415397
1504506754,15704,0.606439829
1504506874,15897,0.068751417
1504506994,16094,0.148950502
1504507114,16286,0.071492374
1504507234,16477,0.048700951
1504507354,16670,0.052010007
1504507474,16860,0.206574574
1504507595,17053,0.108622059
1504507714,17243,0.165489286
1504507834,17432,0.138637751
1504507954,17623,0.142252147
1504508074,17812,0.096752323
1504508194,18001,0.038269468
1504508315,18194,0.515561581
1504508434,18382,0.295805395
1504508554,18572,0.204962894
1504508674,18762,0.085803725
1504508794,18951,0.024847131
1504508914,19141,0.136910468
1504509035,19331,0.144270167
1504509154,19518,0.043889951
1504509274,19709,0.080384292
1504509394,19903,0.029635927
1504509515,20099,0.017780447
1504509634,20293,0.322301269
1504509754,20485,0.408210784
1504509874,20677,0.322710574
1504509994,20871,0.057207707
1504510114,21065,0.044804312
1504510235,21258,0.127264097
1504510354,21449,0.051351517
1504510474,21644,0.151939869
1504510594,21838,0.400884807
1504510714,22031,0.071924657
1504510834,22221,0.048522562
1504510954,22412,0.023363059
1504511074,22604,0.067982554
1504511194,22796,0.030074598
1504511315,22988,0.121453002
1504511435,23175,0.064664155
1504511555,23366,0.277575284
1504511674,23554,0.151003465
1504511794,23745,0.126725987
1504511914,23936,0.055397175
1504512035,24124,0.067580327
1504512155,24313,0.163986713
1504512275,24501,0.029209007
1504512394,24689,0.070011787
1504512514,24879,0.102313161
1504512634,25067,0.164943308
1504512754,25258,0.198970199
1504512874,25454,0.057969291
1504512994,25651,0.353196621
1504513115,25849,0.068776682
1504513235,26040,0.093375161
1504513355,26232,0.081784263
1504513474,26424,0.124439597
1504513594,26615,0.328838885
1504513714,26807,0.095437616
1504513835,27004,0.018185539
1504513954,27195,0.006410727
1504514074,27390,0.203554049
1504514194,27581,0.13165921
1504514314,27773,0.046325237
1504514434,27963,0.026557675
1504514554,28154,0.030541407
1504514674,28345,0.044018116
1504514794,28536,0.105334371
1504514914,28727,0.221209735
1504515034,28914,0.032362904
1504515154,29104,0.058013577
1504515274,29293,0.108571336
1504515394,29483,0.060912602
1504515514,29672,0.041192573
1504515636,29861,0.176042914
1504515755,30048,0.220002413
1504515874,30234,0.042970672
1504515994,30424,0.300079882
1504516115,30618,0.015929604
1504516235,30810,0.203865528
1504516354,31003,0.228781208
1504516474,31196,0.032336771
1504516594,31390,0.046905112
1504516714,31583,0.055813707
1504516836,31776,0.285856277
1504516955,31969,0.186103627
1504517074,32160,0.028800713
1504517194,32353,0.011176846
1504517314,32546,0.013368307
1504517436,32738,0.02234111
1504517555,32931,0.060397547
1504517675,33123,0.085056752
1504517794,33315,0.021401776
1504517917,33509,0.138664261
1504518036,33695,0.09140268
1504518155,33884,0.136528626
1504518275,34073,0.057815555
1504518394,34260,0.041368727
1504518516,34453,0.089393973
1504518634,34638,0.01642124
1504518755,34828,0.106280833
1504518874,35017,0.064729288
1504518994,35197,0.010764245
1504519115,35388,0.004442851
1504519235,35575,0.018316485
1504519354,35763,0.089437895
1504519476,35954,0.039231826
1504519594,36143,0.016977474
1504519715,36338,0.110659122
1504519834,36528,0.013586648
1504519955,36724,0.008553778
1504520074,36915,0.0104618
1504520194,37108,0.275125176
1504520315,37300,0.029457809
1504520434,37491,0.05965342
1504520555,37684,0.181096032
1504520676,37876,0.128828883
1504520794,38064,0.099287294
1504520915,38258,0.028666403
1504521034,38448,0.04843561
1504521154,38640,0.03245794
1504521275,38834,0.040588256
1504521395,39026,0.142675698
1504521514,39218,0.023851518
1504521634,39404,0.019339383
1504521756,39596,0.031789187
1504521874,39782,0.064340465
1504521995,39973,0.00876839
1504522115,40163,0.04877422
1504522235,40350,0.034891304
1504522354,40540,0.102741525
1504522474,40729,0.013653402
1504522596,40920,0.041412748
1504522714,41102,0.158248514
1504522834,41289,0.038115453
1504522955,41483,0.303572923
1504523075,41676,0.069638513
1504523195,41871,0.056197017
1504523314,42065,0.026681129
1504523436,42259,0.025726879
1504523554,42448,0.011565941
1504523675,42644,0.012021231
1504523795,42837,0.054921281
1504523914,43031,0.056480344
1504524036,43225,0.016521649
1504524154,43410,0.134969622
1504524275,43603,0.077972561
1504524396,43798,0.152094901
1504524514,43988,0.121900298
1504524636,44181,0.087802008
1504524754,44369,0.06490016
1504524875,44561,0.005030833
1504524994,44750,0.048561625
1504525114,44939,0.029580271
1504525234,45126,0.086427011
1504525356,45318,0.061888695
1504525474,45505,0.059417613
1504525596,45697,0.027883034
1504525714,45880,0.036549419
1504525834,46064,0.013139931
1504525955,46254,0.057545904
1504526074,46442,0.010985581
1504526194,46629,0.014910098
1504526316,46821,0.004998404
1504526434,47006,0.050563652
1504526555,47202,0.046060689
1504526675,47396,0.070864208
1504526795,47589,0.074824765
1504526914,47784,0.075046711
1504527036,47977,0.178532332
1504527154,48166,0.018788423
1504527275,48360,0.022804368
