Wall time,Step,Value
1504496845,0,16.87576675
1504496957,88,8.418286324
1504497077,187,6.327617645
1504497197,286,6.456258774
1504497317,386,5.360980988
1504497437,485,3.855894327
1504497558,585,5.63726759
1504497677,684,4.852649212
1504497797,783,4.137439728
1504497917,882,3.605258226
1504498037,981,5.281898022
1504498157,1080,4.879249096
1504498278,1179,3.611584187
1504498398,1277,5.081031322
1504498518,1377,3.929780722
1504498637,1477,3.901390553
1504498758,1576,3.456840038
1504498878,1675,5.461061954
1504498997,1774,3.592079878
1504499117,1872,4.095384598
1504499238,1972,4.226918697
1504499357,2069,3.185143948
1504499478,2168,5.270692825
1504499597,2267,3.521310329
1504499718,2367,4.342394829
1504499838,2467,4.8482337
1504499958,2565,2.887223959
1504500077,2664,3.825894833
1504500198,2763,4.439870834
1504500318,2862,4.349502087
1504500437,2960,3.216826916
1504500557,3059,3.359718561
1504500677,3158,3.59460187
1504500798,3257,2.530682087
1504500918,3356,2.595816851
1504501038,3454,4.713727474
1504501158,3553,2.27948451
1504501277,3652,3.662070274
1504501398,3751,2.812805891
1504501518,3850,4.101938248
1504501637,3948,3.346210241
1504501758,4047,2.056035757
1504501878,4146,2.54112196
1504501997,4242,2.223645926
1504502117,4342,3.425924778
1504502238,4442,2.49700737
1504502357,4540,2.26888299
1504502478,4640,4.551331043
1504502597,4739,2.542284966
1504502718,4838,4.561804771
1504502838,4937,4.007345676
1504502958,5036,3.916104078
1504503078,5135,2.59660244
1504503197,5233,2.208709002
1504503318,5333,4.74606657
1504503438,5433,3.699905396
1504503558,5531,2.676037312
1504503677,5630,2.409721851
1504503798,5730,2.378135443
1504503917,5828,4.2491889
1504504037,5927,3.092928886
1504504157,6024,3.014709711
1504504278,6123,3.412666082
1504504398,6222,3.438179016
1504504517,6320,3.237014055
1504504638,6420,2.649489164
1504504757,6519,2.844524622
1504504877,6618,3.308274269
1504504997,6718,4.215909481
1504505118,6816,3.142044306
1504505238,6915,3.835385323
1504505358,7014,2.755894661
1504505478,7113,2.840181589
1504505598,7212,2.572859287
1504505718,7311,3.162333727
1504505838,7410,3.570271015
1504505958,7509,3.034218311
1504506078,7608,3.744907141
1504506198,7708,3.113702774
1504506318,7807,4.760433674
1504506437,7904,2.269609451
1504506557,8002,3.276849031
1504506677,8101,2.660475969
1504506797,8199,3.442411661
1504506918,8298,3.516407728
1504507037,8397,3.152954102
1504507158,8494,3.898330927
1504507277,8593,3.655323267
1504507398,8693,2.895998001
1504507517,8791,2.264765263
1504507638,8890,3.316726685
1504507758,8988,1.521718264
1504507878,9087,3.557623386
1504507999,9186,3.412338972
1504508118,9284,4.75629425
1504508237,9383,3.086647034
1504508358,9482,3.611274958
1504508477,9580,2.887339592
1504508599,9681,2.306107044
1504508719,9779,3.677988768
1504508838,9877,2.120507956
1504508958,9974,3.389550447
1504509077,10072,3.52897954
1504509197,10170,2.134947777
1504509317,10268,3.109588146
1504509438,10368,2.536972761
1504509557,10466,2.960306644
1504509678,10565,1.686974645
1504509798,10665,2.445971966
1504509918,10764,3.26008296
1504510038,10864,1.860833287
1504510158,10962,2.354657412
1504510279,11061,3.502023458
1504510399,11159,3.413410425
1504510518,11257,2.768081903
1504510637,11355,2.391366959
1504510758,11454,2.984804153
1504510878,11554,3.434494972
1504510998,11653,2.433895826
1504511118,11752,2.481536865
1504511238,11850,3.034076691
1504511358,11948,2.994050741
1504511479,12048,2.768444777
1504511599,12146,3.305286169
1504511717,12242,2.743309736
1504511838,12341,2.639550447
1504511958,12439,2.554956198
1504512078,12539,2.553902388
1504512197,12638,2.003158331
1504512318,12738,2.677212477
1504512437,12836,3.029103756
1504512557,12933,4.091097832
1504512677,13033,3.603368282
1504512797,13132,2.449549675
1504512918,13231,2.602641821
1504513039,13330,2.636979818
1504513159,13428,2.445276737
1504513278,13527,2.506901503
1504513398,13626,2.387747288
1504513519,13726,2.283332109
1504513638,13823,2.974103451
1504513757,13920,1.941731572
1504513878,14019,3.094538212
1504513998,14118,3.576831102
1504514117,14216,1.808500767
1504514238,14314,4.092761993
1504514357,14412,2.190025568
1504514478,14512,2.294165134
1504514599,14612,1.676631689
1504514719,14711,2.4609828
1504514838,14809,2.733322144
1504514957,14906,2.754660606
1504515078,15005,3.746817589
1504515197,15103,1.769326448
1504515317,15201,2.63334918
1504515438,15300,2.118330956
1504515558,15398,2.201394558
1504515678,15498,2.776608706
1504515797,15596,2.117632866
1504515918,15695,2.822664261
1504516039,15794,2.079049349
1504516158,15891,2.596888065
1504516279,15990,2.527296543
1504516398,16087,1.816219449
1504516518,16186,3.277673483
1504516638,16284,1.753620386
1504516758,16382,2.492619991
1504516878,16481,2.920625448
1504516998,16581,2.874167681
