filename,width,height,class,xmin,ymin,xmax,ymax
1.jpg,1000,750,occupied,103,343,238,512
1.jpg,1000,750,occupied,631,360,770,530
1.jpg,1000,750,occupied,777,355,916,525
1.jpg,1000,750,occupied,785,164,875,250
1.jpg,1000,750,occupied,686,163,779,251
1.jpg,1000,750,occupied,603,156,681,245
1.jpg,1000,750,occupied,529,157,607,246
1.jpg,1000,750,occupied,433,156,526,249
1.jpg,1000,750,occupied,1,324,124,500
1.jpg,1000,750,occupied,344,155,437,248
1.jpg,1000,750,occupied,258,153,351,246
1.jpg,1000,750,occupied,176,158,261,246
1.jpg,1000,750,occupied,92,157,178,246
1.jpg,1000,750,occupied,20,161,104,242
1.jpg,1000,750,occupied,1,156,35,239
1.jpg,1000,750,occupied,870,157,960,243
1.jpg,1000,750,occupied,888,87,968,159
1.jpg,1000,750,occupied,813,86,893,158
1.jpg,1000,750,occupied,734,89,814,157
1.jpg,1000,750,occupied,662,91,737,155
1.jpg,1000,750,occupied,595,89,667,161
1.jpg,1000,750,occupied,524,88,596,160
1.jpg,1000,750,occupied,450,84,522,156
1.jpg,1000,750,occupied,381,85,453,157
1.jpg,1000,750,occupied,312,88,384,160
1.jpg,1000,750,occupied,242,90,314,162
1.jpg,1000,750,occupied,163,90,237,166
1.jpg,1000,750,occupied,96,93,171,168
1.jpg,1000,750,occupied,27,94,103,168
1.jpg,1000,750,occupied,1,90,38,163
1.jpg,1000,750,occupied,695,14,742,72
1.jpg,1000,750,occupied,740,16,799,71
1.jpg,1000,750,occupied,637,18,696,73
1.jpg,1000,750,occupied,577,19,636,74
1.jpg,1000,750,occupied,475,23,527,72
1.jpg,1000,750,occupied,422,21,474,70
1.jpg,1000,750,occupied,372,23,423,75
1.jpg,1000,750,occupied,262,25,313,77
1.jpg,1000,750,occupied,198,26,258,80
1.jpg,1000,750,occupied,143,27,203,81
1.jpg,1000,750,occupied,91,27,151,81
1.jpg,1000,750,occupied,38,27,98,81
1.jpg,1000,750,occupied,1,26,50,81
10.jpg,1000,750,occupied,388,370,526,548
10.jpg,1000,750,occupied,235,360,377,540
10.jpg,1000,750,occupied,100,374,242,554
10.jpg,1000,750,occupied,1,373,121,545
10.jpg,1000,750,occupied,340,175,417,280
10.jpg,1000,750,occupied,153,166,255,276
10.jpg,1000,750,occupied,4,172,97,273
10.jpg,1000,750,occupied,438,102,503,176
10.jpg,1000,750,occupied,115,35,176,93
10.jpg,1000,750,occupied,608,34,669,92
10.jpg,1000,750,occupied,878,37,947,95
10.jpg,1000,750,occupied,1,35,25,90
10.jpg,1000,750,occupied,597,178,680,263
10.jpg,1000,750,occupied,1,625,308,750
10.jpg,1000,750,occupied,362,632,666,750
11.jpg,1000,750,occupied,596,178,678,259
11.jpg,1000,750,occupied,685,174,776,252
11.jpg,1000,750,occupied,780,175,871,253
11.jpg,1000,750,occupied,520,178,593,256
11.jpg,1000,750,occupied,433,178,506,256
11.jpg,1000,750,occupied,337,183,421,266
11.jpg,1000,750,occupied,246,183,330,266
11.jpg,1000,750,occupied,153,168,250,264
11.jpg,1000,750,occupied,82,168,179,263
11.jpg,1000,750,occupied,2,173,97,266
11.jpg,1000,750,occupied,108,384,251,552
11.jpg,1000,750,occupied,1,371,120,547
11.jpg,1000,750,occupied,243,375,370,557
11.jpg,1000,750,occupied,385,368,512,550
11.jpg,1000,750,occupied,642,364,781,549
11.jpg,1000,750,occupied,782,355,930,545
11.jpg,1000,750,occupied,435,103,517,182
11.jpg,1000,750,occupied,374,104,443,176
11.jpg,1000,750,occupied,206,91,299,174
11.jpg,1000,750,occupied,62,98,155,181
11.jpg,1000,750,occupied,115,35,175,92
11.jpg,1000,750,occupied,173,31,233,88
11.jpg,1000,750,occupied,610,36,670,93
11.jpg,1000,750,occupied,875,36,948,97
11.jpg,1000,750,occupied,1,636,305,750
11.jpg,1000,750,occupied,353,636,658,750
11.jpg,1000,750,occupied,744,648,1000,750
12.jpg,1000,750,occupied,417,333,545,533
12.jpg,1000,750,occupied,1,348,118,542
12.jpg,1000,750,occupied,873,323,1000,514
12.jpg,1000,750,occupied,792,159,903,266
