filename,width,height,class,xmin,ymin,xmax,ymax
1.jpg,1000,750,occupied,103,343,238,512
1.jpg,1000,750,occupied,631,360,770,530
1.jpg,1000,750,occupied,777,355,916,525
1.jpg,1000,750,occupied,785,164,875,250
1.jpg,1000,750,occupied,686,163,779,251
1.jpg,1000,750,occupied,603,156,681,245
1.jpg,1000,750,occupied,529,157,607,246
1.jpg,1000,750,occupied,433,156,526,249
1.jpg,1000,750,occupied,1,324,124,500
1.jpg,1000,750,occupied,344,155,437,248
1.jpg,1000,750,occupied,258,153,351,246
1.jpg,1000,750,occupied,176,158,261,246
1.jpg,1000,750,occupied,92,157,178,246
1.jpg,1000,750,occupied,20,161,104,242
1.jpg,1000,750,occupied,1,156,35,239
1.jpg,1000,750,occupied,870,157,960,243
1.jpg,1000,750,occupied,888,87,968,159
1.jpg,1000,750,occupied,813,86,893,158
1.jpg,1000,750,occupied,734,89,814,157
1.jpg,1000,750,occupied,662,91,737,155
1.jpg,1000,750,occupied,595,89,667,161
1.jpg,1000,750,occupied,524,88,596,160
1.jpg,1000,750,occupied,450,84,522,156
1.jpg,1000,750,occupied,381,85,453,157
1.jpg,1000,750,occupied,312,88,384,160
1.jpg,1000,750,occupied,242,90,314,162
1.jpg,1000,750,occupied,163,90,237,166
1.jpg,1000,750,occupied,96,93,171,168
1.jpg,1000,750,occupied,27,94,103,168
1.jpg,1000,750,occupied,1,90,38,163
1.jpg,1000,750,occupied,695,14,742,72
1.jpg,1000,750,occupied,740,16,799,71
1.jpg,1000,750,occupied,637,18,696,73
1.jpg,1000,750,occupied,577,19,636,74
1.jpg,1000,750,occupied,475,23,527,72
1.jpg,1000,750,occupied,422,21,474,70
1.jpg,1000,750,occupied,372,23,423,75
1.jpg,1000,750,occupied,262,25,313,77
1.jpg,1000,750,occupied,198,26,258,80
1.jpg,1000,750,occupied,143,27,203,81
1.jpg,1000,750,occupied,91,27,151,81
1.jpg,1000,750,occupied,38,27,98,81
1.jpg,1000,750,occupied,1,26,50,81
1.jpg,1000,750,empty,491,357,649,531
1.jpg,1000,750,empty,521,23,578,75
10.jpg,1000,750,occupied,388,370,526,548
10.jpg,1000,750,occupied,235,360,377,540
10.jpg,1000,750,occupied,100,374,242,554
10.jpg,1000,750,occupied,1,373,121,545
10.jpg,1000,750,occupied,340,175,417,280
10.jpg,1000,750,occupied,153,166,255,276
10.jpg,1000,750,occupied,4,172,97,273
10.jpg,1000,750,occupied,438,102,503,176
10.jpg,1000,750,occupied,115,35,176,93
10.jpg,1000,750,occupied,608,34,669,92
10.jpg,1000,750,occupied,878,37,947,95
10.jpg,1000,750,occupied,1,35,25,90
10.jpg,1000,750,empty,244,192,344,273
10.jpg,1000,750,empty,84,183,162,264
10.jpg,1000,750,empty,420,188,513,273
10.jpg,1000,750,empty,503,186,596,271
10.jpg,1000,750,empty,679,190,764,263
10.jpg,1000,750,empty,754,191,823,260
10.jpg,1000,750,empty,813,195,882,264
10.jpg,1000,750,empty,866,194,935,263
10.jpg,1000,750,empty,521,388,642,542
10.jpg,1000,750,empty,641,382,778,538
10.jpg,1000,750,empty,771,384,908,540
10.jpg,1000,750,empty,879,396,1000,542
10.jpg,1000,750,empty,173,49,240,96
10.jpg,1000,750,empty,231,49,298,96
10.jpg,1000,750,empty,281,47,348,94
10.jpg,1000,750,empty,343,45,401,96
10.jpg,1000,750,empty,392,47,448,97
10.jpg,1000,750,empty,450,47,506,97
10.jpg,1000,750,empty,506,46,562,96
10.jpg,1000,750,empty,663,42,719,92
10.jpg,1000,750,empty,717,43,773,93
10.jpg,1000,750,empty,773,42,829,92
10.jpg,1000,750,empty,825,41,881,91
10.jpg,1000,750,empty,23,109,86,171
10.jpg,1000,750,empty,84,110,147,172
10.jpg,1000,750,empty,146,108,209,170
10.jpg,1000,750,empty,208,109,271,171
10.jpg,1000,750,empty,273,108,336,170
10.jpg,1000,750,empty,336,112,399,174
10.jpg,1000,750,empty,498,112,575,178
10.jpg,1000,750,empty,572,109,649,175
10.jpg,1000,750,empty,645,107,722,173
10.jpg,1000,750,empty,711,108,788,174
